episode,episode_reward,step
76.0,257.2020725388601,50000
155.0,280.82089552238807,100000
230.0,299.3582887700535,150000
304.0,292.2020725388601,200000
376.0,332.6902173913044,250000
448.0,342.5139664804469,300000
519.0,341.90751445086704,350000
592.0,338.2865168539326,400000
661.0,377.60115606936415,450000
733.0,380.6432748538012,500000
808.0,368.8285714285714,550000
880.0,384.82142857142856,600000
950.0,399.1925465838509,650000
1021.0,384.5266272189349,700000
1088.0,399.84939759036143,750000
1153.0,378.2012195121951,800000
1220.0,400.6363636363636,850000
1289.0,395.70588235294116,900000
1355.0,418.1360946745562,950000
1422.0,423.57142857142856,1000000
